year,sex,medal_count
1896,F,0
,M,143
1900,F,13
,M,591
1904,F,10
,M,476
1906,F,6
,M,452
1908,F,16
,M,815
1912,F,30
,M,911
1920,F,44
,M,1264
1924,F,52
,M,910
1928,F,103
,M,720
1932,F,68
,M,671
1936,F,97
,M,928
1948,F,116
,M,871
1952,F,158
,M,875
1956,F,171
,M,872
1960,F,195
,M,863
1964,F,246
,M,969
1968,F,261
,M,995
1972,F,295
,M,1119
1976,F,440
,M,1091
1980,F,485
,M,1117
1984,F,548
,M,1150
1988,F,617
,M,1228
1992,F,691
,M,1339
1994,F,108
,M,223
1996,F,764
,M,1078
1998,F,189
,M,251
2000,F,880
,M,1124
2002,F,208
,M,270
2004,F,898
,M,1103
2006,F,231
,M,295
2008,F,932
,M,1116
2010,F,229
,M,291
2012,F,918
,M,1023
2014,F,265
,M,332
2016,F,969
,M,1054
